trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
288,False,"{'a': 0.4, 'e': 0.05532686267122055}",30,12,27.508726947156607,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.4, 'e': 0.05477359404450834}",25,14,19.322344747728348,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.4, 'e': 0.05422585810406326}",20,14,10.03920445779409,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.4, 'e': 0.05368359952302263}",20,13,10.52704122003269,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.4, 'e': 0.0531467635277924}",25,15,20.801342005229184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.4, 'e': 0.05261529589251448}",30,12,23.146720385592793,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.4, 'e': 0.05208914293358933}",30,22,15.17235395803545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.4, 'e': 0.05156825150425344}",25,16,19.439602681174833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.4, 'e': 0.0510525689892109}",30,16,2.8045151555796966,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
297,False,"{'a': 0.4, 'e': 0.050542043299318794}",20,16,6.769679295731034,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.4, 'e': 0.050036622866325604}",25,14,20.361821464945677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.4, 'e': 0.04953625663766235}",30,18,17.95702029168235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,16,18.40036641970016,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,13,10.6028140880323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,18,21.16766792822319,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,20,9.255249176386947,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,15,21.261433102159966,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,15,23.313225270559467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,10,20.380538977083294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,10,30.131988559964157,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,12,29.374925681562754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,6,21.372676052645854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
